project,model,experiment,member,variable,version
CMIP6,INM-CM5-0,ssp585,r1i1p1f1,tas,v20190724
CMIP6,IPSL-CM6A-LR,historical,r1i1p1f1,tas,v20190614
CMIP6,IPSL-CM6A-LR,ssp126,r1i1p1f1,tas,v20190903
CMIP6,IPSL-CM6A-LR,ssp245,r1i1p1f1,tas,v20190614
CMIP6,IPSL-CM6A-LR,ssp370,r1i1p1f1,tas,v20190614
CMIP6,IPSL-CM6A-LR,ssp460,r1i1p1f1,tas,v20190614
CMIP6,IPSL-CM6A-LR,ssp585,r1i1p1f1,tas,v20190903
CMIP6,KACE-1-0-G,historical,r2i1p1f1,tas,v20200317
CMIP6,KACE-1-0-G,ssp126,r2i1p1f1,tas,v20191011
CMIP6,KACE-1-0-G,ssp245,r2i1p1f1,tas,FALSE
CMIP6,KACE-1-0-G,ssp370,r2i1p1f1,tas,FALSE
CMIP6,KACE-1-0-G,ssp585,r2i1p1f1,tas,v20200317
CMIP6,KIOST-ESM,historical,r1i1p1f1,tas,v20191202
CMIP6,KIOST-ESM,126,r1i1p1f1,tas,v20191202
CMIP6,KIOST-ESM,245,r1i1p1f1,tas,v20191202
CMIP6,KIOST-ESM,585,r1i1p1f1,tas,v20210125
CMIP6,MIROC-ES2L,historical,r1i1p1f2,tas,v20191129
CMIP6,MIROC-ES2L,ssp126,r1i1p1f2,tas,v20200318
CMIP6,MIROC-ES2L,ssp245,r1i1p1f2,tas,v20200318
CMIP6,MIROC-ES2L,ssp370,r1i1p1f2,tas,v20200318
CMIP6,MIROC-ES2L,ssp585,r1i1p1f2,tas,v20200318
CMIP6,MIROC6,historical,r1i1p1f1,tas,v20191016
CMIP6,MIROC6,ssp126,r1i1p1f1,tas,v20191016
CMIP6,MIROC6,ssp245,r1i1p1f1,tas,v20191016
CMIP6,MIROC6,ssp370,r1i1p1f1,tas,v20191016
CMIP6,MIROC6,ssp460,r1i1p1f1,tas,v20191016
CMIP6,MIROC6,ssp585,r1i1p1f1,tas,v20191016
CMIP6,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,v20190627
CMIP6,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,tas,v20190628
CMIP6,MPI-ESM1-2-HR,historical,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-HR,ssp126,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-HR,ssp245,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-HR,ssp370,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-HR,ssp585,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-LR,historical,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-LR,ssp126,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-LR,ssp245,r1i1p1f1,tas,v20190710
CMIP6,MPI-ESM1-2-LR,ssp370,r1i1p1f1,tas,v20190710
